empreendimento;ano;mes;ano_mes;produto;id_produto;safra;uf;municipio;cod_ibge;unidade_comercializacao;vlr_custo_variavel_ha;vlr_custo_variavel_unidade;vlr_custo_fixo_ha;vlr_custo_fixo_unidade;vlr_renda_fator_ha;vlr_renda_fator_unidade
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;BA;BARREIRAS-BA                                      ;2903201;15 kg   ;6221.64;59.99;624.87;5.78;1209.79;11.2
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;15 kg   ;5493.66;51.78;365.92;3.28;886.59;7.92
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;15 kg   ;5192.27;50.87;577.95;5.35;733.93;6.79
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;15 kg   ;6662.14;64.13;544.55;5.11;502.72;4.71
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO VERDE-MT                                    ;5102678;15 kg   ;5802.43;60.04;661.74;6.63;506.21;5.07
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;RONDONÃ“POLIS-MT                                   ;5107602;15 kg   ;5918.04;57.66;593.08;5.56;489.69;4.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;15 kg   ;6876.83;70.65;680.0;6.8;622.57;6.23
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;AMENDOIM                                ;4674;TODAS                                   ;SP;JABOTICABAL-SP                                    ;3524303;25 kg   ;4029.31;24.42;409.79;2.48;1077.59;6.53
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;AMENDOIM                                ;4674;TODAS                                   ;SP;TUPÃƒ-SP                                           ;3555000;25 kg   ;4067.02;23.92;739.65;4.35;530.61;3.12
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4686;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1441.85;36.03;418.98;10.47;318.61;7.96
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4685;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2211.92;36.86;477.26;7.97;472.98;7.88
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4685;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;4488.58;33.67;373.66;2.8;256.22;1.93
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;CACHOEIRA DO SUL-RS                               ;4303004;50 kg   ;5289.25;36.78;674.95;4.7;794.72;5.52
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;PELOTAS-RS                                        ;4314407;50 kg   ;5573.07;35.48;441.2;2.82;563.16;3.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;SANTO ANTÃ”NIO DA PATRULHA-RS                      ;4317608;50 kg   ;5023.88;36.43;603.15;4.37;715.45;5.18
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;URUGUAIANA-RS                                     ;4322400;50 kg   ;5452.58;34.13;425.82;2.66;768.38;4.8
